[01:39:02] MALICIOUS: 10.31.94.148 -> 10.10.10.10 | TCP | Rate: 236
[01:39:02] MALICIOUS: 10.31.94.148 -> 10.10.10.10 | TCP | Rate: 237
[01:39:02] MALICIOUS: 10.31.94.148 -> 10.10.10.10 | TCP | Rate: 238
[01:39:02] MALICIOUS: 10.31.94.148 -> 10.10.10.10 | TCP | Rate: 239
[01:39:02] MALICIOUS: 10.31.94.148 -> 10.10.10.10 | TCP | Rate: 240
[01:40:02] MALICIOUS: 10.31.94.46 -> 10.31.94.148 | UDP | Rate: 12
[01:40:03] MALICIOUS: 10.31.94.46 -> 10.31.94.148 | UDP | Rate: 14
[01:40:09] MALICIOUS: 10.31.94.148 -> 224.0.0.251 | UDP | Rate: 2
[01:41:31] MALICIOUS: 10.31.94.46 -> 10.31.94.148 | UDP | Rate: 2
[01:42:02] MALICIOUS: 10.31.94.46 -> 10.31.94.148 | UDP | Rate: 2
[01:42:09] MALICIOUS: 10.31.94.148 -> 224.0.0.251 | UDP | Rate: 2
[01:44:10] MALICIOUS: 10.31.94.148 -> 224.0.0.251 | UDP | Rate: 2
